epoch: 1 step: 3, loss is 1.091293454170227
epoch: 2 step: 3, loss is 0.8524262309074402
epoch: 3 step: 3, loss is 0.7266940474510193
epoch: 4 step: 3, loss is 0.48262038826942444
epoch: 5 step: 3, loss is 0.29314959049224854
epoch: 6 step: 3, loss is 0.4142068326473236
epoch: 7 step: 3, loss is 0.3256258964538574
epoch: 8 step: 3, loss is 0.3203282952308655
epoch: 9 step: 3, loss is 0.32705408334732056
epoch: 10 step: 3, loss is 0.3528347313404083
epoch: 11 step: 3, loss is 0.2767801284790039
epoch: 12 step: 3, loss is 0.33013397455215454
epoch: 13 step: 3, loss is 0.2702174484729767
epoch: 14 step: 3, loss is 0.2986227571964264
epoch: 15 step: 3, loss is 0.22907289862632751
epoch: 16 step: 3, loss is 0.21755865216255188
epoch: 17 step: 3, loss is 0.19817312061786652
epoch: 18 step: 3, loss is 0.15921807289123535
epoch: 19 step: 3, loss is 0.3094399571418762
epoch: 20 step: 3, loss is 0.2677428424358368
epoch: 21 step: 3, loss is 0.3163997530937195
epoch: 22 step: 3, loss is 0.25432276725769043
epoch: 23 step: 3, loss is 0.239935964345932
epoch: 24 step: 3, loss is 0.11568640917539597
epoch: 25 step: 3, loss is 0.22866666316986084
